,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,class
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.412665425453561,0.8231502329380371,0.35722699423776266,42 Coin,2
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.391305580721057,0.8278725869093407,0.3583355649057431,404Coin,2
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,3.1431523167574085,2.1867476629785196,0.4872730011910882,EliteCoin,3
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.19030134717362865,-0.0038285427857420017,-0.043687806068737706,Bitcoin,2
ETH,Ethash,PoW,107684222.6865,0.0,-0.051012530005770405,-1.1613873364877039,1.0204728629380464,Ethereum,0
LTC,Scrypt,PoW,63039243.30000489,84000000.0,-0.2196786600623462,0.2537518190850373,-0.2800440795954817,Litecoin,2
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.47370285277092405,1.3378144202429385,-0.11570799958504874,Dash,2
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.011450356650793456,-1.5047539046846874,1.3357986258852734,Monero,0
ETC,Ethash,PoW,113359703.0,210000000.0,-0.04879804407865749,-1.160924541259163,1.0209292889768382,Ethereum Classic,0
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.042084610252891036,-1.2474495837237802,1.0993535330101785,ZCash,0
BTS,SHA-512,PoS,2741570000.0,3600570502.0,0.19048330548240883,-0.8079848135194931,-1.2166918777703368,Bitshares,4
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.26119075127958713,-0.4781556103234655,0.5138107526264096,DigiByte,0
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.38172438302718875,0.5659076197497586,0.5937659899207658,BitcoinDark,2
XPY,SHA-256,PoS,11995334.8847328,12500000.0,0.12815839255207645,-0.9535180571248129,-1.1061241167920024,PayCoin,4
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.22118388243616513,0.25342345059576543,-0.2801784602663429,ProsperCoin,2
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.49059402039534467,1.5100923194938365,-0.27265626378106345,KoboCoin,2
